Pancaro										
Date:#######										
Subject:	1									
Session:	1									
Block:	1									
										
###										
										
										
										
										
										
										
Subject	Trial_nr	Item_Name	Trial_ID	ExpectedResponse	GivenResponse	ReactionTime	DP	StimAbsEndtime	StimDuration	CueLatency
1	1	stimulus	pn11	3	3	189.4	1096	226349.3	1408	502.700000000012
1	2	stimulus	dv13	3	3	686.5	994	229714.6	1538	502.799999999988
1	3	stimulus	dn14	2	2	3131.6	758	233397	1266	502.5
1	4	stimulus	dv37	3	3	448	996	239745.1	1402	502.100000000006
1	5	stimulus	pv30	2	2	908.5	1114	243676.7	1499	502.299999999988
1	6	stimulus	dn17	2	2	913.8	949	247457.8	1320	503.200000000012
1	7	stimulus	pv04	2	2	1899.5	831	251740.6	1384	502.199999999983
1	8	stimulus	dv38	3	3	1601	963	257088.7	1454	502.299999999988
1	9	stimulus	dv25	3	3	1701	1014	262120.3	1492	502.100000000035
1	10	stimulus	dn05	2	2	477.3	845	266601.8	1159	502.400000000023
1	11	stimulus	pv35	2	2	752.5	882	270434	1390	502.099999999977
1	12	stimulus	pn26	3	3	612	1111	274299.1	1424	502.400000000023
1	13	stimulus	pv22	2	2	467	951	278114.1	1453	502.700000000012
1	14	stimulus	pv24	2	2	625.1	1039	281763.1	1535	502.400000000023
1	15	stimulus	dv01	3	3	639.4	723	285327.6	1319	503.200000000012
1	16	stimulus	pn21	3	3	592.6	880	289377.6	1404	501.800000000047
1	17	stimulus	pn02	3	3	480.9	936	292858.8	1268	502.700000000012
1	18	stimulus	dv20	3	3	506	872	296657.6	1442	502.5
1	19	stimulus	pn06	3	3	552.6	883	300472.7	1356	502.700000000012
1	20	stimulus	dn09	2	2	338.2	842	304055	1350	502.599999999977
1	21	stimulus	dn08	2	2	280.9	915	307503.7	1228	502.599999999977
1	22	stimulus	dv26	3	3	287.5	1109	310919.3	1477	502.400000000023
1	23	stimulus	pv14	2	2	266.5	759	314468.6	1304	501.900000000023
1	24	stimulus	dv36	3	3	279.4	956	317932.6	1375	503.299999999988
1	25	stimulus	pn03	3	3	455.7	958	321398.2	1321	503.199999999953
1	26	stimulus	pn13	3	3	387	995	325298.1	1516	501.900000000023
1	27	stimulus	pv25	2	2	246.2	1014	328762.6	1493	502.700000000012
1	28	stimulus	pv28	2	2	314.3	886	332095.4	1456	502.099999999977
1	29	stimulus	dv07	3	3	327.5	704	335593.1	1273	503.100000000035
1	30	stimulus	dv21	3	3	312.5	879	339042.6	1471	502.400000000023
1	31	stimulus	dn31	2	2	260	1136	342457.9	1484	502.599999999977
1	32	stimulus	pv09	2	2	337	841	345906.6	1415	502.700000000012
1	33	stimulus	dv05	3	3	402.6	845	349121.7	1237	503
1	34	stimulus	pv27	2	2	242.4	1079	352737.2	1472	502.999999999942
1	35	stimulus	dv34	3	3	302.7	1081	356003.1	1463	502.5
1	36	stimulus	pn37	3	3	348.1	997	359236	1357	501.800000000047
1	37	stimulus	pn19	3	3	250.7	1014	362834.3	1334	502.299999999988
1	38	stimulus	pn01	3	3	251	726	365916.1	1224	502.600000000035
1	39	stimulus	pv13	2	2	191.9	995	369597.8	1539	502.899999999965
1	40	stimulus	pn40	3	3	234.3	986	372697	1298	502.600000000035
1	41	stimulus	dv09	3	3	211.6	842	376196.2	1416	502.299999999988
1	42	stimulus	pn23	3	3	243.5	1021	379678.3	1389	502.100000000035
1	43	stimulus	dn26	2	2	305.4	1109	383026.7	1422	502.499999999942
1	44	stimulus	pn18	3	3	1508.8	997	386541.8	1444	503
1	45	stimulus	pv32	2	2	271.5	1124	391357	1598	502.599999999977
1	46	stimulus	dn22	2	2	222.1	952	394589.8	1336	502.000000000058
1	47	stimulus	pv38	2	2	172.8	963	398238.6	1453	501.900000000023
1	48	stimulus	dn39	2	2	189.8	816	401353.5	1332	502.600000000035
1	49	stimulus	dn33	2	2	262.7	922	404652.8	1454	502.099999999977
1	50	stimulus	pv05	2	2	173.3	847	407934.8	1238	502.200000000012
1	51	stimulus	dv16	3	3	220.9	872	411216.3	1467	503
1	52	stimulus	dn01	2	2	201.8	723	414598.7	1221	502.599999999977
1	53	stimulus	pn09	3	3	542.9	841	417831.3	1348	502.299999999988
1	54	stimulus	dn32	2	2	244.7	1124	421630	1503	502.099999999977
